epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,2400.99,1.31295,0.83267,0.86723,0.63611,0.64415,0.66468,0.33773,1.49796,0.90623,0.93059,0.006502,0.006502,0.006502
108,2423.57,1.28519,0.82412,0.8665,0.51988,0.58087,0.57074,0.27316,1.68105,1.08076,0.96859,0.006469,0.006469,0.006469
109,2445.76,1.28093,0.81508,0.86436,0.61755,0.609,0.62956,0.31024,1.55355,0.93069,0.94435,0.006436,0.006436,0.006436
110,2468.28,1.28345,0.8169,0.86738,0.58614,0.66245,0.63424,0.31447,1.56394,0.95205,0.94954,0.006403,0.006403,0.006403
111,2491.07,1.2598,0.80217,0.86962,0.6477,0.6904,0.69277,0.35381,1.48038,0.87894,0.93151,0.00637,0.00637,0.00637
112,2513.81,1.24269,0.78827,0.86175,0.64928,0.66656,0.67178,0.33945,1.50128,0.92278,0.92791,0.006337,0.006337,0.006337
113,2536.1,1.27245,0.80906,0.86129,0.68688,0.63713,0.68322,0.34892,1.45184,0.8839,0.92497,0.006304,0.006304,0.006304
114,2558.16,1.26594,0.80417,0.87099,0.65139,0.70745,0.70974,0.36084,1.47283,0.82354,0.92459,0.006271,0.006271,0.006271
115,2580.58,1.22368,0.75883,0.86061,0.65378,0.70913,0.69887,0.36132,1.44718,0.84651,0.92358,0.006238,0.006238,0.006238
116,2602.66,1.239,0.77214,0.86578,0.66202,0.66667,0.70388,0.36695,1.46095,0.84783,0.90918,0.006205,0.006205,0.006205
117,2624.77,1.20493,0.74464,0.85356,0.66861,0.69238,0.71877,0.38191,1.45092,0.83082,0.91656,0.006172,0.006172,0.006172
118,2646.98,1.20012,0.74218,0.86035,0.66494,0.69058,0.70458,0.35887,1.48631,0.85136,0.92087,0.006139,0.006139,0.006139
119,2669.01,1.20488,0.74664,0.86207,0.66186,0.6737,0.69145,0.33356,1.53466,0.89705,0.93296,0.006106,0.006106,0.006106
120,2691.75,1.18987,0.73014,0.85886,0.72044,0.69953,0.72348,0.36192,1.47005,0.82435,0.91357,0.006073,0.006073,0.006073
121,2714.39,1.2147,0.75802,0.8613,0.72441,0.73136,0.74843,0.38486,1.42599,0.80837,0.9109,0.00604,0.00604,0.00604
122,2737.03,1.19066,0.71789,0.85543,0.73053,0.7398,0.75763,0.39256,1.43223,0.80135,0.91172,0.006007,0.006007,0.006007
123,2759.9,1.18321,0.72661,0.85774,0.71894,0.66807,0.723,0.36519,1.50576,0.86016,0.93308,0.005974,0.005974,0.005974
124,2782.18,1.17776,0.73015,0.85024,0.73459,0.69291,0.7339,0.37454,1.4723,0.83307,0.92764,0.005941,0.005941,0.005941
125,2804.74,1.19432,0.73421,0.85496,0.74758,0.69563,0.74359,0.38943,1.3937,0.81401,0.9113,0.005908,0.005908,0.005908
126,2827.69,1.19108,0.70546,0.84341,0.73796,0.73277,0.74225,0.3736,1.4699,0.8152,0.92123,0.005875,0.005875,0.005875
127,2850.07,1.18347,0.72768,0.85482,0.74577,0.75809,0.77587,0.4017,1.40789,0.76818,0.90768,0.005842,0.005842,0.005842
128,2872.69,1.17295,0.70688,0.85926,0.73357,0.72028,0.74912,0.39918,1.40088,0.81989,0.90855,0.005809,0.005809,0.005809
129,2895.38,1.17789,0.72353,0.85706,0.73743,0.74684,0.75083,0.38922,1.41939,0.8142,0.90932,0.005776,0.005776,0.005776
130,2917.91,1.17658,0.72139,0.85419,0.73503,0.6945,0.74948,0.39152,1.39414,0.78874,0.90779,0.005743,0.005743,0.005743
131,2940.76,1.16482,0.70707,0.85755,0.70032,0.6968,0.73509,0.39575,1.39722,0.82683,0.91323,0.00571,0.00571,0.00571
132,2963.44,1.15198,0.68472,0.84723,0.7659,0.74402,0.78197,0.41385,1.3582,0.7715,0.89693,0.005677,0.005677,0.005677
133,2986.07,1.16094,0.70329,0.84969,0.75104,0.72996,0.76146,0.39945,1.37357,0.78224,0.90282,0.005644,0.005644,0.005644
134,3009.05,1.14703,0.69004,0.85323,0.75762,0.73417,0.75243,0.39889,1.40442,0.77391,0.91309,0.005611,0.005611,0.005611
135,3031.94,1.13077,0.67707,0.84235,0.76061,0.7284,0.76293,0.40986,1.35218,0.76456,0.90551,0.005578,0.005578,0.005578
136,3054.37,1.12884,0.68765,0.84891,0.73756,0.74706,0.76782,0.41332,1.37246,0.78276,0.90022,0.005545,0.005545,0.005545
137,3077.03,1.1324,0.6687,0.8458,0.7638,0.71871,0.76401,0.40405,1.40833,0.83444,0.90564,0.005512,0.005512,0.005512
138,3099.62,1.13286,0.67037,0.84411,0.70951,0.72996,0.75259,0.4005,1.36107,0.78954,0.90244,0.005479,0.005479,0.005479
139,3122.27,1.12283,0.67305,0.85117,0.73221,0.71449,0.76352,0.40879,1.35323,0.7707,0.89487,0.005446,0.005446,0.005446
140,3144.66,1.11709,0.66949,0.84595,0.75588,0.74035,0.77425,0.41687,1.34211,0.7588,0.89867,0.005413,0.005413,0.005413
141,3167.5,1.06839,0.64495,0.84074,0.74102,0.74965,0.77924,0.42235,1.3472,0.75679,0.8929,0.00538,0.00538,0.00538
